"","gene","screen_position","CCD_model_p_adj","chrom_feature","CCD_synergy_score","CCD_estim_diff","global_diff","global_p_adj","DR_effect_type"
"1","ABL1","P1_A1",0.316909651356446,"CTCF",-0.0103554163783309,-0.0606142186102592,-0.0993007674306274,0.00263031088082902,NA
"2","ABL1","P1_A1",0.316909651356446,"Dam",-0.0275540488075724,-0.131606996435545,-0.0993007674306274,0.00263031088082902,NA
"3","ABL1","P1_A1",0.316909651356446,"DNAse",-0.038326584497663,-0.181344058484396,-0.0993007674306274,0.00263031088082902,NA
"4","ABL1","P1_A1",0.316909651356446,"EZH2",-0.0132553418506702,-0.077335710945104,-0.0993007674306274,0.00263031088082902,NA
"5","ABL1","P1_A1",0.316909651356446,"H2AFZ",-0.000779964398760199,-0.00326657311465774,-0.0993007674306274,0.00263031088082902,NA
"6","ABL1","P1_A1",0.316909651356446,"H3K27ac",-0.000383251897131677,-0.00152883335396467,-0.0993007674306274,0.00263031088082902,NA
"7","ABL1","P1_A1",0.316909651356446,"H3K27me3",0,0,-0.0993007674306274,0.00263031088082902,NA
"8","ABL1","P1_A1",0.316909651356446,"H3K36me3",0,0,-0.0993007674306274,0.00263031088082902,NA
"9","ABL1","P1_A1",0.316909651356446,"H3K4me1",0,0,-0.0993007674306274,0.00263031088082902,NA
"10","ABL1","P1_A1",0.316909651356446,"H3K4me2",-0.00316572975220916,-0.0110843120924544,-0.0993007674306274,0.00263031088082902,NA
"11","ABL1","P1_A1",0.316909651356446,"H3K4me3",-0.0152267290654893,-0.0604128931962082,-0.0993007674306274,0.00263031088082902,NA
"12","ABL1","P1_A1",0.316909651356446,"H3K79me2",-0.00304307042205689,-0.0139045292333881,-0.0993007674306274,0.00263031088082902,NA
"13","ABL1","P1_A1",0.316909651356446,"H3K9me2",0,0,-0.0993007674306274,0.00263031088082902,NA
"14","ABL1","P1_A1",0.316909651356446,"H3K9me3",0,0,-0.0993007674306274,0.00263031088082902,NA
"15","ABL1","P1_A1",0.316909651356446,"H4K5acK8ac",-0.0255986154258444,-0.127056194378992,-0.0993007674306274,0.00263031088082902,NA
"16","ABL1","P1_A1",0.316909651356446,"HDAC1",0,0,-0.0993007674306274,0.00263031088082902,NA
"17","ABL1","P1_A1",0.316909651356446,"HDAC2",-0.0400396210041333,-0.20635207999004,-0.0993007674306274,0.00263031088082902,NA
"18","ABL1","P1_A1",0.316909651356446,"HDAC3",-0.0124498215738887,-0.0704155042444599,-0.0993007674306274,0.00263031088082902,NA
"19","ABL1","P1_A1",0.316909651356446,"late_replicating",0,0,-0.0993007674306274,0.00263031088082902,NA
"20","ABL1","P1_A1",0.316909651356446,"LMNB1",0,0,-0.0993007674306274,0.00263031088082902,NA
"21","ABL1","P1_A1",0.316909651356446,"m5C",0,0,-0.0993007674306274,0.00263031088082902,NA
"22","ABL1","P1_A1",0.316909651356446,"POL2",-0.00829501833575205,-0.0425966388414857,-0.0993007674306274,0.00263031088082902,NA
"23","ABL1","P1_A1",0.316909651356446,"POL2AS2",-0.0240352599199545,-0.114118433736145,-0.0993007674306274,0.00263031088082902,NA
"24","ABL1","P1_A1",0.316909651356446,"SMC3",-0.0510423109584328,-0.292922248160484,-0.0993007674306274,0.00263031088082902,NA
"25","ABL1","P1_A1",0.316909651356446,"TTseq",0,0,-0.0993007674306274,0.00263031088082902,NA
"26","ABRAXAS1","P1_A2",0.0546858134182119,"CTCF",0.0192830431027779,0.112871037474518,0.0876080539931465,0.000125122950819672,"global"
"27","ABRAXAS1","P1_A2",0.0546858134182119,"Dam",0,0,0.0876080539931465,0.000125122950819672,"global"
"28","ABRAXAS1","P1_A2",0.0546858134182119,"DNAse",0,0,0.0876080539931465,0.000125122950819672,"global"
"29","ABRAXAS1","P1_A2",0.0546858134182119,"EZH2",0,0,0.0876080539931465,0.000125122950819672,"global"
